ru,en,note
Линия обороны,Defense line,"Режим боя: отражать атаки противника до прихода подмоги. Название игрового режима: один и тот же перевод в меню выбора, в описании режима и в итоговой статистике. На странице Steam этот режим назван Frontline, в ките Defense line. Ключ движка: LevelModes_Deffence. Раздел: МЕНЮ."
Плацдарм,Foothold,"Режим боя: захватить штаб и отбить контратаку противника. Название игрового режима: один и тот же перевод в меню выбора, в описании режима и в итоговой статистике. Ключ движка: LevelModes_CaptureAndDeffence. Раздел: МЕНЮ."
Захват,Offensive,"Режим боя: захватить ключевые позиции врага. Название игрового режима: один и тот же перевод в меню выбора, в описании режима и в итоговой статистике. Омоним: «Захват» — название режима, а не действие; en в ките Offensive, не Capture. Ключ движка: LevelModes_Attack. Раздел: МЕНЮ."
Противостояние,Clash,"Режим боя: удержать больше точек, чем противник. Название игрового режима: один и тот же перевод в меню выбора, в описании режима и в итоговой статистике. Ключ движка: LevelModes_Territory. Раздел: МЕНЮ."
Исторические сражения,Historical battles,"Режим боя: задания, основанные на реальных событиях. Название игрового режима: один и тот же перевод в меню выбора, в описании режима и в итоговой статистике. Ключ движка: LevelModes_Historical. Раздел: МЕНЮ."
Туман войны,Fog of war,"Скрывает неразведанную часть карты. Настройка боя в меню выбора режима: короткая подпись, держать единообразно. Ключ движка: LevelModes_FogOfWar. Раздел: МЕНЮ."
Время обороны,Defense time,"Длительность оборонительной фазы боя. Настройка боя в меню выбора режима: короткая подпись, держать единообразно. Ключ движка: LevelModes_DeffenceTimer. Раздел: МЕНЮ."
Уровень сложности,Difficulty,Заголовок выбора сложности. Название уровня сложности: тот же перевод в меню и в итоговой статистике. Ключ движка: Difficulty_Title. Раздел: МЕНЮ.
Легко,Easy,Уровень сложности. Название уровня сложности: тот же перевод в меню и в итоговой статистике. Ключ движка: Difficulty_Easy. Раздел: МЕНЮ.
Средне,Normal,Уровень сложности. Название уровня сложности: тот же перевод в меню и в итоговой статистике. Не смешивать с качеством графики «Среднее» (Medium): у сложности en Normal. Ключ движка: Difficulty_Normal. Раздел: МЕНЮ.
Тяжело,Hard,Уровень сложности. Название уровня сложности: тот же перевод в меню и в итоговой статистике. Ключ движка: Difficulty_Hard. Раздел: МЕНЮ.
Кампания,Campaign,Раздел главного меню: сюжетная кампания. Название раздела главного меню: тот же перевод в меню и в заголовке экрана. Ключ движка: MenuButtons_Campaign. Раздел: МЕНЮ.
Боевые операции,Combat operations,Раздел главного меню: боевые операции вне кампании. Название раздела главного меню: тот же перевод в меню и в заголовке экрана. Ключ движка: MenuButtons_CombatOperations. Раздел: МЕНЮ.
Сражения,Instant Action,"Раздел главного меню: одиночный бой вне кампании. Название раздела главного меню: тот же перевод в меню и в заголовке экрана. en в ките Instant Action, а не Battles: это осознанная адаптация, держать её. Ключ движка: MenuButtons_Battles. Раздел: МЕНЮ."
Режим строительства!,Construction mode,Фаза перед боем: игрок возводит укрепления. Название фазы боя: тот же перевод в объявлении фазы и в HUD. Восклицательный знак — часть строки. Ключ движка: Phase_Building. Раздел: ОКНА.
Режим битвы!,Battle mode,Фаза боя после фазы подготовки. Название фазы боя: тот же перевод в объявлении фазы и в HUD. Восклицательный знак — часть строки. Ключ движка: Phase_Battle. Раздел: ОКНА.
Очки поддержки,Support points,"Счётчик очков поддержки в HUD: артудар, разведка, авиация. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Ключ движка: Hint_SupportScores. Раздел: ОКНА / Actions."
Очки стройки,Construction points,"Счётчик очков, доступных в фазе строительства. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Ключ движка: Hint_BuildingScores. Раздел: ОКНА / Actions."
Очки найма,Recruitment points,"Счётчик очков, доступных на вызов подкреплений. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Ключ движка: Hint_RecruitmentsScores. Раздел: ОКНА / Actions."
Лимит юнитов,Unit limit,"Счётчик: сколько юнитов игрок может держать в бою. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Ключ движка: Hint_UnitLimit. Раздел: ОКНА / Actions."
Артудар,Artillery strike,"Способность поддержки: артиллерийский удар по площади. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Сокращение от «артиллерийский удар», в en развёрнуто (Artillery strike). Ключ движка: Hint_ArtilleryStrike. Раздел: ОКНА / Actions."
Разведка,Reconnaissance,"Способность поддержки: воздушная разведка участка карты. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Способность поддержки, а не отряд: у отряда «Разведчики» и юнита «Разведчик» отдельные записи. Ключ движка: Hint_Scout. Раздел: ОКНА / Actions."
Штурмовики,Strike aircraft,"Способность поддержки: удар штурмовой авиации. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Ключ движка: Hint_AttackAircraft. Раздел: ОКНА / Actions."
Бомбардировщик,Bomber,"Способность поддержки: удар бомбардировщика. Подпись ресурса или способности в HUD: короткая, тот же перевод в подсказке. Ключ движка: Hint_Bomber. Раздел: ОКНА / Actions."
Колонна,Column,Построение отряда: бойцы идут колонной по одному. Название боевого построения отряда: короткая подпись в панели построений и в подсказке. Ключ движка: ButtonFormationColumn. Раздел: ОКНА / Actions.
Линия,Line,Построение отряда: бойцы идут шеренгой. Название боевого построения отряда: короткая подпись в панели построений и в подсказке. Омоним: тем же словом названы режим «Линия обороны» и постройка «в линию»; здесь только построение отряда. Ключ движка: ButtonFormationLine. Раздел: ОКНА / Actions.
Ромб,Diamond,"Построение отряда ромбом. Название боевого построения отряда: короткая подпись в панели построений и в подсказке. en в ките Diamond, не Rhombus. Ключ движка: ButtonFormationRhomb. Раздел: ОКНА / Actions."
Колонна по двое,Column of two,Построение отряда: колонна по два бойца. Название боевого построения отряда: короткая подпись в панели построений и в подсказке. Ключ движка: ButtonFormationTwoColumns. Раздел: ОКНА / Actions.
Клин,Wedge,Построение отряда клином. Название боевого построения отряда: короткая подпись в панели построений и в подсказке. Ключ движка: ButtonFormationWedge. Раздел: ОКНА / Actions.
ПП граната,,"Противопехотная граната в панели действий. Подпись боеприпаса в панели действий: тот же перевод в инвентаре и в подсказке. ПП здесь — противопехотная, не пистолет-пулемёт; en-ячейка кита содержит нерасшифрованное PP grenade — оставлена пустой. Ключ движка: ButtonInfantryGrenade. Раздел: ОКНА / Actions."
ПП мина,,Противопехотная мина в панели действий. Подпись боеприпаса в панели действий: тот же перевод в инвентаре и в подсказке. ПП здесь — противопехотная; en-ячейка кита содержит нерасшифрованное PP mine — оставлена пустой. Ключ движка: ButtonInfantryMine. Раздел: ОКНА / Actions.
ПТ граната,Anti-tank grenade,"Противотанковая граната в панели действий. Подпись боеприпаса в панели действий: тот же перевод в инвентаре и в подсказке. ПТ — противотанковая; en в ките развёрнуто как Anti-tank grenade, так и держать. Ключ движка: ButtonPanzerGrenade. Раздел: ОКНА / Actions."
ПТ мина,Anti-tank mine,"Противотанковая мина в панели действий. Подпись боеприпаса в панели действий: тот же перевод в инвентаре и в подсказке. ПТ — противотанковая; en в ките развёрнуто как Anti-tank mine, так и держать. Ключ движка: ButtonPanzerMine. Раздел: ОКНА / Actions."
ДП-27,DP-27,"Ручной пулемёт Дегтярёва пехотный обр. 1927 г., РККА. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Ключ движка: Item_DP27. Раздел: ПРЕДМЕТЫ."
Luger P08,Luger P08,"Немецкий пистолет Parabellum P08. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Ключ движка: Item_LugerP08. Раздел: ПРЕДМЕТЫ."
ПП М24,,"Немецкая ручная граната Stielhandgranate 24, противопехотное применение. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. ПП — противопехотное применение; en-ячейка кита содержит нерасшифрованное PP M24 — оставлена пустой. Ключ движка: Item_M24. Раздел: ПРЕДМЕТЫ."
ПТ М24,,"Связка гранат Stielhandgranate 24, противотанковое применение. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. ПТ — противотанковое применение; en-ячейка кита содержит нерасшифрованное PT M24 — оставлена пустой. Ключ движка: Item_M24Tank. Раздел: ПРЕДМЕТЫ."
Маузер 98К,Mauser 98K,"Немецкий магазинный карабин Karabiner 98 kurz. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Тот же исходный термин в ките у ключа Item_Mauser98KSniper (снайперский вариант), и там en = Medic — дефект кита. Ключ движка: Item_Mauser98K, Item_Mauser98KSniper. Раздел: ПРЕДМЕТЫ."
Аптечка,First aid,"Предмет: восстанавливает здоровье бойца. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Вне ядра тот же термин под ключом ButtonMedKit переведён как Medkit, здесь First aid — расхождение кита, свести к одному варианту. Ключ движка: Item_MedKitRKKA, Item_MedKitVermaht. Раздел: ПРЕДМЕТЫ."
MG-34,MG-34,"Немецкий единый пулемёт MG 34. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. В ru-строке обозначение записано латиницей; у юнита «МГ-34 зенитный» — кириллицей, расхождение кита. Ключ движка: Item_MG34. Раздел: ПРЕДМЕТЫ."
Винтовка Мосина,Mosin rifle,"Трёхлинейная винтовка Мосина обр. 1891/30, РККА. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Ключ движка: Item_Mosin, Item_MosinSniper. Раздел: ПРЕДМЕТЫ."
Карабин Мосина,,"Карабин на базе винтовки Мосина. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. en-ячейка кита содержит опечатку Mosin karabine вместо carbine — оставлена пустой. Ключ движка: Item_MosinKarabine. Раздел: ПРЕДМЕТЫ."
МP-40,MP-40,"Немецкий пистолет-пулемёт MP 40. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. В ru-строке первая буква кириллическая «М», вторая латинская «P» — дефект кита, а не часть обозначения. Ключ движка: Item_MP40. Раздел: ПРЕДМЕТЫ."
Револьвер Нагана,Nagant revolver,"Револьвер системы Нагана обр. 1895, РККА. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Ключ движка: Item_Nagan. Раздел: ПРЕДМЕТЫ."
ПП ПМД-6,,"Советская противопехотная мина ПМД-6 в деревянном корпусе. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. ПП — противопехотная; en-ячейка кита содержит нерасшифрованное PP PMD-6 — оставлена пустой. Ключ движка: Item_PMD6. Раздел: ПРЕДМЕТЫ."
ППШ,PPSh,"Пистолет-пулемёт Шпагина, РККА. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Здесь ППШ — обозначение оружия, а не сокращение «противопехотный». Ключ движка: Item_PPSh. Раздел: ПРЕДМЕТЫ."
ПП РГД-33,,"Советская ручная граната РГД-33, противопехотное применение. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. ПП — противопехотное применение; en-ячейка кита содержит нерасшифрованное PP RGD-33 — оставлена пустой. Ключ движка: Item_RGD33. Раздел: ПРЕДМЕТЫ."
ПТ РГД-33,,"Связка гранат РГД-33, противотанковое применение. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. ПТ — противотанковое применение; en-ячейка кита содержит нерасшифрованное PT RGD-33 — оставлена пустой. Ключ движка: Item_RGD33Tank. Раздел: ПРЕДМЕТЫ."
ПП РПГ-40,,"Советская ручная граната РПГ-40. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Исторически РПГ-40 — противотанковая граната, в ките помечена как ПП: расхождение кита, в переводе не исправлять; en-ячейка (PP RPG-40) оставлена пустой. Ключ движка: Item_RPG40. Раздел: ПРЕДМЕТЫ."
ПП мина SMine-35,,"Немецкая выпрыгивающая противопехотная мина S.Mi.35. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. ПП — противопехотная; en-ячейка кита содержит нерасшифрованное PP mine SMine-35 — оставлена пустой. Ключ движка: Item_SMine35. Раздел: ПРЕДМЕТЫ."
СВТ-40,,"Самозарядная винтовка Токарева обр. 1940 г., РККА. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. en-ячейка кита содержит CVT-40 вместо SVT-40 — оставлена пустой; тот же ru-термин у ключа Item_SVT40Sniper. Ключ движка: Item_SVT40, Item_SVT40Sniper. Раздел: ПРЕДМЕТЫ."
ПТ мина ТМ-35,,"Советская противотанковая мина ТМ-35. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. ПТ — противотанковая; en-ячейка кита называет её PP mine, то есть противопехотной — оставлена пустой. Ключ движка: Item_TM35. Раздел: ПРЕДМЕТЫ."
ПТ мина TMine-35,,"Немецкая противотанковая мина T.Mi.35 (Tellermine 35). Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. ПТ — противотанковая; en-ячейка кита называет её PP mine — оставлена пустой. В ru обозначение записано латиницей, в отличие от «ПТ мина ТМ-35». Ключ движка: Item_TMine35. Раздел: ПРЕДМЕТЫ."
Ремкомплект,Repair case,"Предмет: ремонтирует технику. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Вне ядра тот же термин под ключом ButtonRepair переведён как Repair kit, здесь Repair case — расхождение кита, свести к одному варианту. Ключ движка: Item_RepairCase. Раздел: ПРЕДМЕТЫ."
ПТРД,PTRD,"Противотанковое ружьё Дегтярёва, 14,5 мм, РККА. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Ключ движка: Item_PTRD. Раздел: ПРЕДМЕТЫ."
Винтовочные патроны,,"Тип боеприпаса: патроны для винтовок. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. en-ячейка кита содержит Ammo 7x62 — одна и та же строка на все пять типов патронов, оставлена пустой. Ключ движка: Item_AmmoRifle. Раздел: ПРЕДМЕТЫ."
Пистолетные патроны,,"Тип боеприпаса: патроны для пистолетов и револьверов. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. en-ячейка кита содержит Ammo 7x62 — общая строка на все типы патронов, оставлена пустой. Ключ движка: Item_AmmoPistolet. Раздел: ПРЕДМЕТЫ."
ПП патроны,,"Тип боеприпаса: патроны для пистолетов-пулемётов. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. Здесь ПП — пистолет-пулемёт, а не «противопехотный»: в списке патронов «Пистолетные патроны» указаны отдельно. en-ячейка кита (Ammo 7x62) оставлена пустой. Ключ движка: Item_AmmoPP. Раздел: ПРЕДМЕТЫ."
Пулемётные патроны,,"Тип боеприпаса: патроны для пулемётов. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. en-ячейка кита содержит Ammo 7x62 — общая строка на все типы патронов, оставлена пустой. Ключ движка: Item_AmmoMachineGun. Раздел: ПРЕДМЕТЫ."
Противотанковые патроны,,"Тип боеприпаса: патроны для противотанкового ружья. Историческое обозначение оружия или снаряжения: не переводить описательно, одно написание в инвентаре, на земле и в подсказке. en-ячейка кита содержит Ammo 7x62 — общая строка на все типы патронов, оставлена пустой. Ключ движка: Item_AmmoAntitank. Раздел: ПРЕДМЕТЫ."
Пехотинец,Infantry,Пеший боец как объект мира. Название объекта мира в подсказке при наведении: держать единообразно. Ключ движка: Object_Unit. Раздел: ПРЕДМЕТЫ.
Дверь,Door,Интерактивный объект: дверь можно открыть и закрыть. Название объекта мира в подсказке при наведении: держать единообразно. Ключ движка: Object_Door. Раздел: ПРЕДМЕТЫ.
Ящик,Box,Интерактивный объект: ящик можно осмотреть. Название объекта мира в подсказке при наведении: держать единообразно. Не путать с юнитом «Ящик с припасами». Ключ движка: Object_Box. Раздел: ПРЕДМЕТЫ.
Пулемёт,Machine gun,"Категория юнитов: станковые пулемёты. Название категории юнитов в панели найма: тот же перевод в фильтре, подсказке и описании юнита. Категория, а не конкретное оружие: у юнита «Пулемёт Максима» en = Maxim gun. Ключ движка: Category_Turret. Раздел: ЮНИТЫ / Категории юнитов."
Миномёт,Mortar,"Категория юнитов: миномёты. Название категории юнитов в панели найма: тот же перевод в фильтре, подсказке и описании юнита. Ключ движка: Category_Mortar. Раздел: ЮНИТЫ / Категории юнитов."
Автомобиль,Car,"Категория юнитов: колёсная техника. Название категории юнитов в панели найма: тот же перевод в фильтре, подсказке и описании юнита. Ключ движка: Category_Car. Раздел: ЮНИТЫ / Категории юнитов."
Танк,,"Категория юнитов: танки. Название категории юнитов в панели найма: тот же перевод в фильтре, подсказке и описании юнита. en-ячейка кита содержит Panzer — немецкий термин для советской категории, оставлена пустой; ключ движка Category_Panzer менять нельзя. Ключ движка: Category_Panzer. Раздел: ЮНИТЫ / Категории юнитов."
Ящик с припасами,Ammunition,"Категория юнитов: ящики снабжения. Название категории юнитов в панели найма: тот же перевод в фильтре, подсказке и описании юнита. en в ките Ammunition называет содержимое, а не ящик: свести с «Пехотные припасы» (Infantry ammunition). Ключ движка: Category_AmmoBox. Раздел: ЮНИТЫ / Категории юнитов."
ПТ-орудие,Anti-tank artillery,"Категория юнитов: противотанковые орудия. Название категории юнитов в панели найма: тот же перевод в фильтре, подсказке и описании юнита. ПТ — противотанковое; en в ките развёрнуто как Anti-tank artillery. Ключ движка: Category_AntiPanzerTurret. Раздел: ЮНИТЫ / Категории юнитов."
Стрелки,Riflemen,"Отряд бойцов с винтовками, есть и у РККА, и у вермахта. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_VermahtInfantry, Squad_RKKAInfantry. Раздел: ЮНИТЫ / Отряды."
Кубельваген,Kubelwagen,"Немецкий легковой автомобиль Volkswagen Typ 82 Kübelwagen. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. en в ките Kubelwagen без умляута — держать это написание. Тот же ru-термин у трёх ключей, включая вариант с крышей. Ключ движка: Squad_VermahtKubelwagen, Unit_Kubelwagen, Unit_KubelwagenRoof. Раздел: ЮНИТЫ / Отряды."
Миномёт GRW34,Mortar GRW34,"Отряд с немецким 81-мм миномётом 8 cm Granatwerfer 34. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. В ките обозначение записано и как GRW34, и как GRW-34 (у юнита) — расхождение кита. Ключ движка: Squad_VermahtGRW34. Раздел: ЮНИТЫ / Отряды."
Автоматчики,,"Отряд бойцов с пистолетами-пулемётами. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Бойцы с пистолетами-пулемётами, не пулемётчики; en-ячейка кита содержит Machine gunners, что дублирует «Пулемётчик» — оставлена пустой. Ключ движка: Squad_RKKAMachineGuns, Squad_VermahtMachineGuns. Раздел: ЮНИТЫ / Отряды."
Разведчики,Scouts,"Отряд разведчиков, действует в тылу врага. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAScouts. Раздел: ЮНИТЫ / Отряды."
Командир,Commander,"Юнит-командир: рядом с ним бойцы получают бонус «Вдохновение». Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKACommander, Unit_CommanderRKKA. Раздел: ЮНИТЫ / Отряды."
Снайперы,Snipers,"Отряд снайперов. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKASniper, Squad_VermahtSniper. Раздел: ЮНИТЫ / Отряды."
Санитары,Medics,"Отряд санитаров, лечат раненых бойцов. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAMedics, Squad_VermahtMedics. Раздел: ЮНИТЫ / Отряды."
Максим,Maxim,"Станковый пулемёт Максима обр. 1910/30, РККА. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. У установленного орудия тот же пулемёт назван «Пулемёт Максима» (Maxim gun). Ключ движка: Squad_RKKAMaksim. Раздел: ЮНИТЫ / Отряды."
БМ-37,BM-37,"82-мм батальонный миномёт обр. 1937 г., РККА. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKABM37, Unit_MinometBM37. Раздел: ЮНИТЫ / Отряды."
БА-10,BA-10,"Средний бронеавтомобиль БА-10, РККА. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKABA10, Unit_BA10. Раздел: ЮНИТЫ / Отряды."
БТ-7,BT-7,"Легкий колёсно-гусеничный танк БТ-7, РККА. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKABT7, Unit_BT7. Раздел: ЮНИТЫ / Отряды."
ГАЗ-АА инж.,,"Инженерный вариант грузовика ГАЗ-АА, возводит укрепления. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Та же машина как юнит названа «ГАЗ-АА (Инженерный)» — расхождение кита; en-ячейка кита содержит опечатку GAZ-AA Enineer, оставлена пустой. Ключ движка: Squad_RKKAGasAABuild. Раздел: ЮНИТЫ / Отряды."
ГАЗ-АА,GAZ-AA,"Советский грузовик ГАЗ-АА, «полуторка». Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAGazAA, Unit_GazAA. Раздел: ЮНИТЫ / Отряды."
ГАЗ-АА (Тент),GAZ-AA (Tent),"ГАЗ-АА с тентом над кузовом. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAGazAATent, Unit_GazAATent. Раздел: ЮНИТЫ / Отряды."
ГАЗ-55,GAZ-55,"Советский санитарный автомобиль ГАЗ-55 на шасси ГАЗ-ММ. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAGaz55, Unit_Gaz55. Раздел: ЮНИТЫ / Отряды."
ГАЗ-03-30,GAZ-03-30,"Советский автобус ГАЗ-03-30 на шасси ГАЗ-АА. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAGaz0330, Unit_Gaz0330. Раздел: ЮНИТЫ / Отряды."
БЗ-38У,BZ-38U,"Советский бензозаправщик БЗ-38У на шасси ГАЗ-АА. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKABZ38U, Unit_BZ38U. Раздел: ЮНИТЫ / Отряды."
Pz-38t,Pz-38t,"Немецкий легкий танк Panzerkampfwagen 38(t). Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. В ките записан как Pz-38t, без скобок вокруг t — держать это написание. Ключ движка: Squad_VermahtPz38t, Unit_Pz38t. Раздел: ЮНИТЫ / Отряды."
Пехотные припасы,Infantry ammunition,"Ящик снабжения: боеприпасы для пехоты. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAInfantryAmmoBox, Unit_AmmoBoxInfantryRKKA. Раздел: ЮНИТЫ / Отряды."
Орудийные припасы,Vehicle ammunition,"Ящик снабжения: боеприпасы для орудий и техники. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAVehicleAmmoBox, Unit_AmmoBoxVehicleRKKA. Раздел: ЮНИТЫ / Отряды."
ПТ-стрелки,Anti-tank riflemen,Отряд бойцов с противотанковыми ружьями. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAAntiTank. Раздел: ЮНИТЫ / Отряды.
53 К,53 K,"45-мм противотанковая пушка обр. 1937 г. (53-К), РККА. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. В ките записана как «53 К» с пробелом, каноничное обозначение — 53-К; держать написание кита. Ключ движка: Squad_RKKA53K, Unit_TurretK53. Раздел: ЮНИТЫ / Отряды."
Пак 36,,"Немецкая 37-мм противотанковая пушка 3,7 cm Pak 36. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Каноничное обозначение — Pak 36; en-ячейка кита содержит Pack 36, оставлена пустой. Ключ движка: Squad_VermahtPack36, Unit_TurretPack36. Раздел: ЮНИТЫ / Отряды."
Т-20,T-20,"Артиллерийский тягач Т-20 «Комсомолец», РККА. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAT20, Unit_T20. Раздел: ЮНИТЫ / Отряды."
Т-38,T-38,"Малый плавающий танк Т-38, РККА. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Ключ движка: Squad_RKKAT38, Unit_T38. Раздел: ЮНИТЫ / Отряды."
Зенитный,Anti-aircraft,"Зенитный вариант пулемёта: у РККА Максим, у вермахта MG 34. Название отряда в панели подкреплений: должно совпадать с названием одиночного юнита того же типа. Прилагательное без существительного: короткая подпись в панели подкреплений, полные названия — «Максим зенитный» и «МГ-34 зенитный». Ключ движка: Squad_RKKAMaksimAir, Squad_VermahtMG34Air. Раздел: ЮНИТЫ / Отряды."
