ru,en,note
Командир разведки,Intelligence commander,Командир разведгруппы. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Ключ движка: Unit_DiversantCommanderRKKA. Раздел: ЮНИТЫ / Юниты.
Разведчик,Scout,"Боец-разведчик. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Тот же ru-термин у трёх ключей: диверсант-стрелок, диверсант-автоматчик и разведчик. Ключ движка: Unit_DiversantRiflemanRKKA, Unit_DiversantGunnerRKKA, Unit_Scout. Раздел: ЮНИТЫ / Юниты."
Стрелок,Rifleman,"Боец с винтовкой. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Тот же исходный термин в ките у ключа Unit_DriverVermaht, где en = Driver: это водитель вермахта, ru-строка ошибочна — свести к «Водитель» на стороне кита. Ключ движка: Unit_RifleManRKKA, Unit_DriverVermaht, Unit_RifleManVermaht. Раздел: ЮНИТЫ / Юниты."
Медсестра,Medic,Женский медик РККА. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. У вермахта та же роль названа «Санитар»; en у обеих ролей Medic. Ключ движка: Unit_MedicRKKA. Раздел: ЮНИТЫ / Юниты.
Автоматчик,,"Боец с пистолетом-пулемётом. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Боец с пистолетом-пулемётом; en-ячейка кита содержит Gunner, что означает наводчика — оставлена пустой. Ключ движка: Unit_GunnerRKKA, Unit_GunnerVermaht. Раздел: ЮНИТЫ / Юниты."
Артиллерист,Artilleryman,Боец расчёта орудия. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Ключ движка: Unit_Artilleryman. Раздел: ЮНИТЫ / Юниты.
Водитель,Driver,Боец за рулём техники. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Ключ движка: Unit_DriverRKKA. Раздел: ЮНИТЫ / Юниты.
Пулемётчик,Machine gunner,"Боец расчёта пулемёта. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Ключ движка: Unit_MachineGunnerRKKA, Unit_MachineGunnerVermaht. Раздел: ЮНИТЫ / Юниты."
Снайпер,Sniper,"Боец со снайперской винтовкой, труднее обнаруживается, пока не стреляет. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Ключ движка: Unit_SniperRKKA, Unit_SniperVermaht. Раздел: ЮНИТЫ / Юниты."
Сержант,Sergeant,Младший командир РККА. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Ключ движка: Unit_SergeantRKKA. Раздел: ЮНИТЫ / Юниты.
Офицер,Officer,Командир вермахта. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. У РККА та же роль названа «Командир»; ключ движка Unit_CommanderVermaht. Ключ движка: Unit_CommanderVermaht. Раздел: ЮНИТЫ / Юниты.
Санитар,Medic,Медик вермахта. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Ключ движка: Unit_MedicVermaht. Раздел: ЮНИТЫ / Юниты.
ГАЗ-АА (Инженерный),GAZ-AA (Engineering),Инженерный ГАЗ-АА как отдельный юнит. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. В отряде та же машина названа «ГАЗ-АА инж.» — расхождение кита. Ключ движка: Unit_GazAABuild. Раздел: ЮНИТЫ / Юниты.
Пулемёт Максима,Maxim gun,Пулемёт Максима как установленное орудие. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Ключ движка: Unit_TurretMaksim. Раздел: ЮНИТЫ / Юниты.
GRW-34,GRW34,"Немецкий 81-мм миномёт 8 cm Granatwerfer 34 как юнит. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. В отряде тот же миномёт назван «Миномёт GRW34», без дефиса — расхождение кита. Ключ движка: Unit_MinometGRW34. Раздел: ЮНИТЫ / Юниты."
Кубельваген с пулемётом,,Kübelwagen с установленным пулемётом. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. en-ячейка кита содержит Kubelwagen with MachineGun слитно — оставлена пустой. Ключ движка: Unit_KubelwagenMachineGun. Раздел: ЮНИТЫ / Юниты.
ПТ-стрелок,,"Боец с противотанковым ружьём. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. en-ячейка кита содержит AntiTank, что называет класс, а не бойца — оставлена пустой; в отряде тот же боец назван «ПТ-стрелки» (Anti-tank riflemen). Ключ движка: Unit_AntiTankRKKA. Раздел: ЮНИТЫ / Юниты."
Максим зенитный,Anti-aircraft Maxim,Зенитный вариант пулемёта Максима. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. Ключ движка: Unit_MaksimAir. Раздел: ЮНИТЫ / Юниты.
МГ-34 зенитный,MG-34 anti-aircraft,"Зенитный вариант пулемёта MG 34. Название юнита в мире и в панели управления: должно совпадать с названием отряда того же типа. В ru обозначение записано кириллицей (МГ-34), у предмета — латиницей (MG-34): расхождение кита. Ключ движка: Unit_MG34Air. Раздел: ЮНИТЫ / Юниты."
Дмитрий,Dmitriy,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Dmitriy. Раздел: ЮНИТЫ / Имена."
Иван,Ivan,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Ivan. Раздел: ЮНИТЫ / Имена."
Василий,Vasiliy,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Vasiliy. Раздел: ЮНИТЫ / Имена."
Евгений,Eugeniy,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Evgeniy. Раздел: ЮНИТЫ / Имена."
Артем,Artem,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Artem. Раздел: ЮНИТЫ / Имена."
Михаил,Mihail,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Mihail. Раздел: ЮНИТЫ / Имена."
Арсений,Arseniy,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Arseniy. Раздел: ЮНИТЫ / Имена."
Андрей,Andrey,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Andrew. Раздел: ЮНИТЫ / Имена."
Сергей,Sergey,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Sergey. Раздел: ЮНИТЫ / Имена."
Александр,Alexandr,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Alex. Раздел: ЮНИТЫ / Имена."
Леонид,Leonid,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Leon. Раздел: ЮНИТЫ / Имена."
Марк,Mark,"Русское мужское имя из генератора имён бойцов. Мужское имя бойца, подставляется в случайно сгенерированный расчёт: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Mark. Раздел: ЮНИТЫ / Имена."
Мария,Maria,"Русское женское имя из генератора имён бойцов. Женское имя бойца: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Maria. Раздел: ЮНИТЫ / Имена."
Екатерина,Ekaterina,"Русское женское имя из генератора имён бойцов. Женское имя бойца: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Ekaterina. Раздел: ЮНИТЫ / Имена."
Анастасия,Anastasya,"Русское женское имя из генератора имён бойцов. Женское имя бойца: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Anastasya. Раздел: ЮНИТЫ / Имена."
Тамара,Tamara,"Русское женское имя из генератора имён бойцов. Женское имя бойца: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Tamara. Раздел: ЮНИТЫ / Имена."
Дарья,Darya,"Русское женское имя из генератора имён бойцов. Женское имя бойца: транслитерировать, не переводить и не заменять местным аналогом. Ключ движка: Name_Darya. Раздел: ЮНИТЫ / Имена."
Лукас,Lukas,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. Ключ движка: Name_Lukas. Раздел: ЮНИТЫ / Имена."
Вильгельм,,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Vilhelm) вместо немецкого написания (Wilhelm) — оставлена пустой. Ключ движка: Name_Vilhelm. Раздел: ЮНИТЫ / Имена."
Генрих,,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Genrih) вместо немецкого написания (Heinrich) — оставлена пустой. Ключ движка: Name_Genrih. Раздел: ЮНИТЫ / Имена."
Германн,,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Germann) вместо немецкого написания (Hermann) — оставлена пустой. Ключ движка: Name_Germann. Раздел: ЮНИТЫ / Имена."
Зигмунд,,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Zigmund) вместо немецкого написания (Sigmund) — оставлена пустой. Ключ движка: Name_Zigmund. Раздел: ЮНИТЫ / Имена."
Карл,Karl,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. Ключ движка: Name_Karl. Раздел: ЮНИТЫ / Имена."
Клаус,Klaus,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. Ключ движка: Name_Klaus. Раздел: ЮНИТЫ / Имена."
Адольф,Adolf,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. Ключ движка: Name_Adolf. Раздел: ЮНИТЫ / Имена."
Конрад,Konrad,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. Ключ движка: Name_Konrad. Раздел: ЮНИТЫ / Имена."
Оскар,Oscar,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. Ключ движка: Name_Oscar. Раздел: ЮНИТЫ / Имена."
Оливер,Oliver,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. Ключ движка: Name_Oliver. Раздел: ЮНИТЫ / Имена."
Эрик,Erik,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. Ключ движка: Name_Erik. Раздел: ЮНИТЫ / Имена."
Рудольф,Rudolph,"Немецкое мужское имя из генератора имён бойцов. Мужское имя бойца вермахта: передавать немецким написанием имени, не транслитерацией с русского. Ключ движка: Name_Rudolph. Раздел: ЮНИТЫ / Имена."
Иванов,Ivanov,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Ivanov. Раздел: ЮНИТЫ / Фамилии.
Петров,Petrov,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Petrov. Раздел: ЮНИТЫ / Фамилии.
Сидоров,Sidorov,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Sidorov. Раздел: ЮНИТЫ / Фамилии.
Васильев,Vasilev,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Vasilev. Раздел: ЮНИТЫ / Фамилии.
Суворов,Suvorov,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Suvorov. Раздел: ЮНИТЫ / Фамилии.
Александров,Alexandrov,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Alexandrov. Раздел: ЮНИТЫ / Фамилии.
Сорокин,Sorokin,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Sorokin. Раздел: ЮНИТЫ / Фамилии.
Степанов,Stepanov,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Stepanov. Раздел: ЮНИТЫ / Фамилии.
Бондаренко,Bondarenko,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Bondarenko. Раздел: ЮНИТЫ / Фамилии.
Матвеев,Matveev,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Matveev. Раздел: ЮНИТЫ / Фамилии.
Панфилов,Panfilov,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Panfilov. Раздел: ЮНИТЫ / Фамилии.
Романов,Romanov,Русская мужская фамилия из генератора имён бойцов. Мужская фамилия бойца: транслитерировать; парная женская форма должна быть узнаваемо той же фамилией. Ключ движка: LastName_Romanov. Раздел: ЮНИТЫ / Фамилии.
Иванова,Ivanova,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Ivanova. Раздел: ЮНИТЫ / Фамилии.
Петрова,Petrova,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Petrova. Раздел: ЮНИТЫ / Фамилии.
Сидорова,Sidorova,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Sidorova. Раздел: ЮНИТЫ / Фамилии.
Васильева,Vasileva,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Vasileva. Раздел: ЮНИТЫ / Фамилии.
Суворова,Suvorova,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Suvorova. Раздел: ЮНИТЫ / Фамилии.
Александрова,Alexandrova,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Alexandrova. Раздел: ЮНИТЫ / Фамилии.
Сорокина,Sorokina,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Sorokina. Раздел: ЮНИТЫ / Фамилии.
Степанова,Stepanova,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Stepanova. Раздел: ЮНИТЫ / Фамилии.
Матвеева,Matveeva,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Matveeva. Раздел: ЮНИТЫ / Фамилии.
Панфилова,Panfilova,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Panfilova. Раздел: ЮНИТЫ / Фамилии.
Романова,Romanova,Русская женская фамилия из генератора имён бойцов. Женская фамилия бойца: транслитерировать; должна соответствовать парной мужской форме. Ключ движка: LastName_Romanova. Раздел: ЮНИТЫ / Фамилии.
Мюллер,Müller,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. Ключ движка: LastName_Muller. Раздел: ЮНИТЫ / Фамилии."
Шмидт,,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Shmidt) вместо немецкого написания (Schmidt) — оставлена пустой. Ключ движка: LastName_Shmidt. Раздел: ЮНИТЫ / Фамилии."
Шнайдер,,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Shnaider) вместо немецкого написания (Schneider) — оставлена пустой. Ключ движка: LastName_Shnaider. Раздел: ЮНИТЫ / Фамилии."
Вебер,Weber,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. Ключ движка: LastName_Weber. Раздел: ЮНИТЫ / Фамилии."
Майер,Maier,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. Ключ движка: LastName_Maier. Раздел: ЮНИТЫ / Фамилии."
Вагнер,Wagner,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. Ключ движка: LastName_Wagner. Раздел: ЮНИТЫ / Фамилии."
Шульц,,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Shultz) вместо немецкого написания (Schulz) — оставлена пустой. Ключ движка: LastName_Shultz. Раздел: ЮНИТЫ / Фамилии."
Хоффман,,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Hoffman) вместо немецкого написания (Hoffmann) — оставлена пустой. Ключ движка: LastName_Hoffman. Раздел: ЮНИТЫ / Фамилии."
Рихтер,,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Rihter) вместо немецкого написания (Richter) — оставлена пустой. Ключ движка: LastName_Rihter. Раздел: ЮНИТЫ / Фамилии."
Вольф,Wolf,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. Ключ движка: LastName_Wolf. Раздел: ЮНИТЫ / Фамилии."
Шварц,,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Shwartz) вместо немецкого написания (Schwarz) — оставлена пустой. Ключ движка: LastName_Shwartz. Раздел: ЮНИТЫ / Фамилии."
Вернер,Werner,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. Ключ движка: LastName_Werner. Раздел: ЮНИТЫ / Фамилии."
Краузе,,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Krauze) вместо немецкого написания (Krause) — оставлена пустой. Ключ движка: LastName_Krauze. Раздел: ЮНИТЫ / Фамилии."
Шеффер,,"Немецкая фамилия из генератора имён бойцов. Фамилия бойца вермахта: передавать немецким написанием фамилии, не транслитерацией с русского. en-ячейка кита содержит транслитерацию с русского (Shefer) вместо немецкого написания (Schäfer) — оставлена пустой. Ключ движка: LastName_Shefer. Раздел: ЮНИТЫ / Фамилии."
Укрепления,,"Заголовок панели строительства. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. en-ячейка кита содержит Infantry ammunition, скопированное из другой строки — оставлена пустой. Ключ движка: Building_Title. Раздел: ПОСТРОЙКИ."
в линию,,"Режим постройки: объекты ставятся линией между точками. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. Строчная буква — часть строки; en-ячейка кита содержит Infantry ammunition из другой строки, оставлена пустой. Ключ движка: Building_InLine. Раздел: ПОСТРОЙКИ."
Боеприпасы для пехоты,Infantry ammunition,Постройка: ящик боеприпасов для пехоты. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. Ключ движка: Building_AmmoInfantry. Раздел: ПОСТРОЙКИ / Постройки.
Боеприпасы для орудий,Vehicle ammunition,Постройка: ящик боеприпасов для орудий и техники. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. Ключ движка: Building_AmmoVehicle. Раздел: ПОСТРОЙКИ / Постройки.
пт ежи,,"Постройка: противотанковые ежи. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. en-ячейка кита содержит Anti-Tank, что не называет объект и совпадает с «Надолбы» (Anti-Tank obstacles) — оставлена пустой. Ключ движка: Building_AntiTank. Раздел: ПОСТРОЙКИ / Постройки."
Баррикады,Barricades,Постройка: баррикада как укрытие. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. Ключ движка: Building_Barricade. Раздел: ПОСТРОЙКИ / Постройки.
Демонтаж,Dismantle,Инструмент строительства: снос уже построенного. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. Ключ движка: Building_Eraser. Раздел: ПОСТРОЙКИ / Постройки.
пехотные мины,Infantry Mines,Постройка: противопехотное минное поле. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. Ключ движка: Building_MinesInfantry. Раздел: ПОСТРОЙКИ / Постройки.
пт мины,,"Постройка: противотанковое минное поле. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. en-ячейка кита содержит Panzer Mines — немецкий термин в советской постройке, оставлена пустой. Ключ движка: Building_MinesPanzer. Раздел: ПОСТРОЙКИ / Постройки."
Надолбы,Anti-Tank obstacles,"Постройка: надолбы, вкопанные противотанковые препятствия. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. Отличать от «пт ежи»: в ките оба en-варианта сводятся к Anti-Tank. Ключ движка: Building_Nadolbs. Раздел: ПОСТРОЙКИ / Постройки."
Мешки с песком,Sandbags,Постройка: мешки с песком как укрытие. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. Ключ движка: Building_SandBarricade. Раздел: ПОСТРОЙКИ / Постройки.
Траншея,Trenches,Постройка: траншея. Название укрепления в панели строительства: краткая подпись и её описание должны совпадать. en в ките Trenches во множественном числе при ru в единственном. Ключ движка: Building_Tranch. Раздел: ПОСТРОЙКИ / Постройки.
Флаг,,"Точка на карте, за которую идёт бой. Статус или тип точки на карте и радаре: короткая подпись, держать единообразно с сообщениями о захвате. en-ячейка кита содержит служебное off вместо перевода — оставлена пустой. Ключ движка: Flag_flag. Раздел: Флаги."
Главная цель,,"Тип точки: главная цель боя. Статус или тип точки на карте и радаре: короткая подпись, держать единообразно с сообщениями о захвате. en-ячейка кита содержит служебное on вместо перевода — оставлена пустой. Ключ движка: Flag_MainTarget. Раздел: Флаги."
Ресурсы,,"Тип точки: даёт дополнительные ресурсы за удержание. Статус или тип точки на карте и радаре: короткая подпись, держать единообразно с сообщениями о захвате. en-ячейка кита содержит служебное off вместо перевода — оставлена пустой. Ключ движка: Flag_SideTarget. Раздел: Флаги."
Под контролем,,"Статус точки: удерживается игроком. Статус или тип точки на карте и радаре: короткая подпись, держать единообразно с сообщениями о захвате. en-ячейка кита содержит служебное on вместо перевода — оставлена пустой. Ключ движка: Flag_MainCapture. Раздел: Флаги."
Захвачено врагом,,"Статус точки: удерживается противником. Статус или тип точки на карте и радаре: короткая подпись, держать единообразно с сообщениями о захвате. en-ячейка в ките пуста. Ключ движка: Flag_EnemyCapture. Раздел: Флаги."
Атаковано,,"Статус точки: её атакует противник. Статус или тип точки на карте и радаре: короткая подпись, держать единообразно с сообщениями о захвате. en-ячейка в ките пуста; пара «Атаковано»/«Атакуем» различает, кто атакует. Ключ движка: Flag_MainAttacked. Раздел: Флаги."
Атакуем,,"Статус точки: её атакует игрок. Статус или тип точки на карте и радаре: короткая подпись, держать единообразно с сообщениями о захвате. en-ячейка в ките пуста; не смешивать с «Атаковано» (атакует противник). Ключ движка: Flag_EnemyAttacked. Раздел: Флаги."
Нейтрально,,"Статус точки: не занята ни одной из сторон. Статус или тип точки на карте и радаре: короткая подпись, держать единообразно с сообщениями о захвате. en-ячейка кита содержит служебное on вместо перевода — оставлена пустой. Ключ движка: Flag_Neutral. Раздел: Флаги."
